Datum,Gewinner,Verlierer
2024-03-03,Bunt sind schon die Wälder@Liederbock,"Burschen, Burschen@Liederbock"
2024-03-03,Bunt sind schon die Wälder@Liederbock,Bin auf meinem Weg@Liederbock
2024-03-03,"Burschen, Burschen@Liederbock","Bruder, nun wird es Abend@Liederbock"
2024-03-04,An der Allee@Liederbock,"Burschen, Burschen@Liederbock"
2024-03-04,An den sechs vergangnen Tagen@Liederbock,"Burschen, Burschen@Liederbock"
2024-03-04,An der Allee@Liederbock,An den sechs vergangnen Tagen@Liederbock
2024-03-05,Ungezählte Male@Liederbock,"Bruder, nun wird es Abend@Liederbock"
2024-03-05,Unter den Toren@Liederbock,Ungezählte Male@Liederbock
2024-03-06,"Seht, die Leute, die springen@Liederbock",Abends treten Elche@Liederbock
2024-03-06,Kameraden wann seh'n wir uns wieder@Liederbock,Und am Abend ziehen Gaukler@Liederbock
2024-03-06,So troll'n wir uns@Liederbock,Zu Straßburg auf der Schanz@Liederbock
2024-03-06,"In die Sonne, die Ferne hinaus@Liederbock",Roter Wein im Becher@Liederbock
2024-03-07,Tanzen die Dohlen@Liederbock,Jovano@Liederbock
2024-03-07,Oh König von Preußen@Liederbock,Ringsum blühen Birn- und Apfelbäume@Liederbock
2024-03-07,Wo's nur Felsen gibt@Liederbock,Roter Mond@Liederbock
2024-03-07,Schilf bleicht die langen welkenden Haare@Liederbock,"Scharlatane, eins will ich euch sagen@Liederbock"
2024-03-07,Schon wird uns oft ums Herz zu eng@Liederbock,Schlies Aug' und Ohr@Liederbock
2024-03-07,Woher soll das Brot für heute kommen@Liederbock,Ihr hübschen jungen Reiter@Liederbock
2024-03-07,"Nordwärts, nordwärts@Liederbock","Nehmt Abschied, Brüder@Liederbock"
2024-03-08,Nach Süden nun sich lenken die Vögelein@Liederbock,Ich komme schon durch manche Land@Liederbock
2024-03-08,Near to Banbridge town@Liederbock,Wo seid ihr Nächte am Feuer@Liederbock
2024-03-08,Nun greift in die Saiten@Liederbock,Wollt ihr hören nun mein Lied@Liederbock
2024-03-09,"Nun lustig, lustig@Liederbock",Oh Bootsmann@Liederbock
2024-03-09,Wohin auch das Auge blicket@Liederbock,Oh Fischer auf den Wogen@Liederbock
2024-03-09,Wir zogen in das Feld@Liederbock,Wir zahlten mit Dollars und Kopeken@Liederbock
2024-03-09,Wir wollen zu Land ausfahren@Liederbock,Wir wählten den Sommer@Liederbock
2024-03-10,Wir traben in die Weite@Liederbock,Wir sind Kameraden@Liederbock
2024-03-10,Sie saßen oft am Märchensee@Liederbock,Wir sind eine kleine verlorene Schar@Liederbock
2024-03-10,Singt Freunde@Liederbock,Slaat up de Trommele@Liederbock
2024-03-10,Nachts auf dem Dorfplatz@Liederbock,Wir sind durch Deutschland gefahren@Liederbock
2024-03-10,Steigt so ein kleiner Troll@Liederbock,Miruschka@Liederbock
2024-03-11,"Heute hier, morgen dort@Liederbock",Leise weht der Wind@Liederbock
2024-03-11,"Mädchen, Männer, Meister@Liederbock",Hans Spielmann@Liederbock
2024-03-11,In Junkers Kneipe@Liederbock,Jeden Abend träumt Jerschenkow@Liederbock
2024-03-11,Abend ward@Liederbock,Jenseits des Tales@Liederbock
2024-03-11,Kommt Freunde in die Runde@Liederbock,Kein schöner Land@Liederbock
2024-03-11,Mich brennt's in meinen Reiseschuhn@Liederbock,Lang war die Reise@Liederbock
2024-03-11,"Michel, warum weinest du@Liederbock",Wenn wir in der Schenke hängen@Liederbock
2024-03-12,Wir sind des Geyers schwarzer Haufen@Liederbock,Wir kamen einst von Piemont@Liederbock
2024-03-12,"Wir drei, wir gehn jetzt auf die Walze@Liederbock",Wildgänse rauschen durch die Nacht@Liederbock
2024-03-12,Wie schön blüht uns der Maien@Liederbock,Wilde Gesellen@Liederbock
2024-03-12,In dem Kerker saßen@Liederbock,In Dublins fair city@Liederbock
2024-03-12,In days gone by@Liederbock,In das Dorf auf bunten Wagen@Liederbock
2024-03-12,"Gestern, Brüder, könnt ihr's glauben@Liederbock",Gospodar@Liederbock
2024-03-12,Was bin ich nur so jäh erwacht@Liederbock,Gute Nacht Kameraden@Liederbock
2024-03-13,"Hei, wie vorn der Fetzen fliegt@Liederbock",Xekinai@Liederbock
2024-03-13,Hier wächst kein Ahorn@Liederbock,Xekinai@Liederbock
2024-03-13,Holt mir Wein@Liederbock,Hohe Tannen@Liederbock
2024-03-13,Ich kenne Europas Zonen@Liederbock,Horridoh@Liederbock
2024-03-13,Im düstern Auge keine Träne@Liederbock,Wo soll ich mich hinkehren@Liederbock
2024-03-13,Im Kreis ihrer Enkel die alte Frau@Liederbock,"Wer bekümmert sich drum, wenn ich wand're@Liederbock"
2024-03-14,Wenn sie reiten zur Schwemme@Liederbock,Gebt Raum ihr Völker@Liederbock
2024-03-14,Was helfen mir tausend Dukaten@Liederbock,Turm@Liederbock
2024-03-14,Über meiner Heimat Frühling@Liederbock,'Twas down the glen@Liederbock
2024-03-15,Fordre niemand@Liederbock,Fährt ein Schiff@Liederbock
2024-03-15,Wenn ich einmal der Herrgott wär@Liederbock,"Gehe nicht, oh Gregor@Liederbock"
